,0
A3B8KOCZ0MPOP0,546
A2IEI6VPAWJR6T,235
A38GFVEBNQNSUJ,233
A9HQ3E0F2AGVO,448
A3SKEW89V5S0DI,171
A8B4AE3QMECV,236
A1GPC6QQK2D0K2,201
A16FVMBSNMXG9F,105
A7UNIWDAQROJG,219
AWJ0LF6A0LXJN,217
A2ZP67F7PDFFLF,122
AY0TTDEU9ZZ4B,1231
A1W06GIYOJMSAK,45
A271Y0N5I5PWII,49
A16OJTSFLK977U,281
A1TIO97G4K0ZFF,154
A2RVFMCKSSEHDV,168
A4D99Y82KOLC8,259
ADKSCOBCEAABV,98
A1ZDR2UN7M92LI,200
A1NRZ7O1TEJB1V,82
A3746TDKYH8SJ9,237
A16J2CW30USNJI,25
A2J5OER13EQOHV,130
A2M176BVZGR1FE,103
A1VMPZVVVZUCS4,158
A1J3ON3YLGJAM6,263
A1PNR13F6ODP3R,119
A1P3R8TYQAKHR8,104
A1CCE2WY1CC40H,21
A2NSS746CFCT4M,34
A1Z3SNR2EMCH33,65
A2H1RXUC8XNNIW,418
A37Y1AV30WTRWL,53
A19Q59EGAWISUS,34
A12H9WVHOB0E0O,143
A3P7GCM0XMI12D,23
A93HHQ9DI0201,195
A2FO6J0H70OW05,48
A1D1A0YF2QHD3K,19
A2KE139TQ886T3,104
A1GRC12IH5WWLK,87
ARJDD0Z3R65BD,75
A27TB066SL630S,19
A21XTK9Y0QZ8AB,99
A2SM26ZFOYOKJY,116
A2I5U2QEG6M1ML,56
A2LAJUL73JCTU7,42
AKMIORNF40ST7,232
AHJH5S80O5JBY,42
A1FA3QRISJ1RIP,70
AK1Q45RF8A87Z,43
A1YT0SNR8C6HN9,8
A35TMPLPX9B1LY,1
A3HLQWB5WTC7UL,39
A3EWR58W0SA885,16
ALWYZOTS2TNRL,1
AHXHM1PQTRWIQ,39
AVFHRN0S32V2H,120
A1M52J1BIO1O2V,1
A3O0NNIW4KA2PV,89
A3I9XLIHPPWPN1,135
A3PQAF45RN32NP,1
A3JYC7C2BS2MXQ,125
A1MJVTR0PCKBWW,7
A1P0SZ4C7PLX7K,72
AY7WPVKHVNBLG,156
A258OCH27S72CF,15
A15I6Y5WBI6QRV,11
A3K43YTGJQURAT,21
A1W7F4L83SEZXF,11
A2U53YHFUIT60P,129
A1ONFAJRN4I11S,20
ABZY13DHZVXT6,5
A3580IA7OHX8JE,100
AKQAI78JTXXC9,38
A3M64QADLDKPCO,2
A3JM1E5G4LTTCD,3
A39HJ3Z44MHTC1,99
A2ONILC0LZKG6Y,22
A3CR9XJAL7U5JW,20
A1YNGE7LM9TQHL,59
A32UPOIV8K3W0Z,62
A24ZE5TANQZNJQ,1
A38B229W1GG2XE,101
A2V2ETRC6AO6GF,5
A34359DSZPY7LR,25
A1V8FJHR0XVNCV,10
A34YOJZT0EKGN0,7
A2EO6IBGQEOMLB,4
A1I240Q4Y0884K,94
A2I4PRZ9IZMKON,48
AONSG5WOC3OX0,3
A1TARNH07A75CG,16
AZVN4YFG3KNX5,14
A38AQF5BPHJS4C,14
A30VOAZX8XTNGW,51
A16DOX0X2E9XBI,51
AAX9LTAOIBECD,2
A14BSOU2Y5JNT0,72
A1Z8TF04ZG3VRE,28
AHPA5FJ5EWCG7,29
A627UVGXJJBS2,5
AOUN0U155OQ1E,20
A3KNUQK6F02ZT6,45
ABUGW389ZSMSN,61
APAMK3771GR3W,26
ANS6GA4YPWHPR,14
A3CX0LXFHZ6I3I,38
A281QBSYNWRNB4,1
A1FNNL4YJGBU8U,8
A1KZ0KE93WNN5O,6
A14W0AXTJ3R19V,44
A2P8V5SKYLL5I4,6
A2JP9IKRHNLRPI,5
A31TGM13CAYTBG,3
A376F1W1MTY3J,5
AEIACTPDXL4MJ,5
A1S1K7134S2VUC,10
A2YTDBI4HJH0RQ,1
A2DK91OGZLWQ62,1
A49A0FF6ZXYDU,2
A2GBMJ40V4E76Z,1
AI4AO0O0WIJF7,6
AZ1CPF2NHT5QO,2
A3OIJ7AIUMCDWY,1
A22DDO8NILSX6O,1
A1IBYY266SA4B5,1
A1Y59GODJP2BE6,1
ADC4VXNQJ9FEW,1
A2YO837C0O1E91,1
